name,math,science,attendance
asha,78.0,88.0,92.0
nimal,56.0,61.0,81.0
kamal,90.0,84.0,96.0
sara,73.4,75.0,89.0
john,67.0,75.5,70.0
asha,78.0,88.0,92.0
ravi,45.0,55.0,60.0
nadeesha,82.0,79.0,88.0
tharindu,91.0,85.0,95.0
malini,60.0,65.0,85.0
saman,72.0,70.0,80.0
dilshan,88.0,75.5,90.0
kasun,55.0,75.5,75.0
nirosha,77.0,82.0,85.0
chathura,92.0,89.0,97.0
ishara,73.4,73.0,68.0
anjali,85.0,90.0,93.0
ruwan,66.0,64.0,72.0
suresh,49.0,52.0,58.0
piumi,81.0,86.0,90.0
thilina,74.0,70.0,78.0
sajith,59.0,75.5,65.0
gayani,83.0,88.0,91.0
lakshan,68.0,72.0,80.0
madusha,90.0,91.0,94.0
pradeep,45.0,48.0,55.0
chandima,76.0,79.0,82.0
isuru,73.4,69.0,74.0
sanduni,87.0,85.0,92.0
ramesh,61.0,63.0,70.0
kavindi,79.0,81.0,88.0
nuwan,54.0,58.0,66.0
hasini,88.0,90.0,95.0
gayan,73.0,75.5,77.0
ravindu,92.0,94.0,98.0
chamodi,65.0,68.0,75.0
tharushi,80.0,83.0,89.0
dinuka,58.0,60.0,85.0
sachini,84.0,87.0,91.0
eranga,47.0,50.0,60.0
nishan,69.0,72.0,78.0
vihanga,91.0,88.0,94.0
amaya,73.4,80.0,85.0
roshani,77.0,75.0,82.0
supun,62.0,65.0,70.0
madhavi,85.0,89.0,93.0
janith,53.0,57.0,65.0
thilak,71.0,74.0,79.0
nipuni,88.0,75.5,92.0
ashen,90.0,93.0,97.0
asha,78.0,88.0,92.0
kamal,90.0,84.0,96.0
ravi,45.0,55.0,85.0
nadeesha,82.0,79.0,88.0
tharindu,91.0,85.0,95.0
saman,72.0,70.0,80.0
